                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0183,                0.49912,                 1.0626,                0.66905,                0.65966,                0.66436,                0.46686,                  1.142,                0.47902,                 1.1459,               0.000467,               0.000467,               0.000467
                     36,                 1.0078,                0.48651,                 1.0537,                0.62645,                0.68172,                0.66128,                0.46475,                 1.1419,                0.47816,                 1.1505,              0.0004387,              0.0004387,              0.0004387
                     37,                  1.013,                0.49335,                 1.0582,                0.64057,                0.64268,                0.65876,                0.46257,                 1.1439,                0.47547,                 1.1578,             0.00041041,             0.00041041,             0.00041041
                     38,                0.99713,                0.48218,                 1.0531,                0.61376,                0.64913,                0.66012,                0.46584,                 1.1418,                0.47036,                  1.151,             0.00038211,             0.00038211,             0.00038211
                     39,                0.99943,                0.48191,                 1.0497,                0.64374,                0.64938,                0.65939,                0.46355,                 1.1447,                0.47561,                 1.1501,             0.00035382,             0.00035382,             0.00035382
                     40,                 0.9822,                0.46852,                 1.0407,                0.62971,                 0.6513,                0.66058,                0.46518,                 1.1439,                0.47351,                 1.1584,             0.00032553,             0.00032553,             0.00032553
                     41,                0.97028,                0.42677,                 1.0584,                0.61864,                0.66297,                0.66035,                0.46771,                 1.1433,                0.47745,                 1.1566,             0.00029723,             0.00029723,             0.00029723
                     42,                0.95929,                0.41565,                 1.0482,                0.61597,                0.65061,                0.65811,                0.46329,                 1.1501,                0.47729,                 1.1624,             0.00026894,             0.00026894,             0.00026894
                     43,                0.95221,                0.40542,                 1.0468,                0.61617,                0.65176,                0.65829,                0.46684,                 1.1438,                0.47237,                 1.1564,             0.00024064,             0.00024064,             0.00024064
                     44,                0.93898,                0.40015,                 1.0418,                0.65337,                0.63272,                0.65725,                 0.4654,                 1.1421,                0.47514,                 1.1549,             0.00021235,             0.00021235,             0.00021235
                     45,                0.92933,                0.39383,                 1.0359,                0.62213,                0.64823,                0.65823,                0.46734,                 1.1405,                0.47261,                 1.1536,             0.00018406,             0.00018406,             0.00018406
                     46,                0.91941,                 0.3896,                  1.028,                0.62913,                0.65883,                0.65881,                0.46766,                 1.1421,                0.47114,                 1.1568,             0.00015576,             0.00015576,             0.00015576
                     47,                 0.9131,                0.38464,                 1.0243,                0.62777,                0.67317,                0.66007,                0.46963,                 1.1398,                0.47355,                 1.1537,             0.00012747,             0.00012747,             0.00012747
                     48,                0.90263,                0.37737,                 1.0222,                0.63617,                 0.6641,                0.65946,                0.46867,                 1.1415,                0.47248,                 1.1583,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.89235,                0.37109,                 1.0155,                0.64153,                0.64439,                0.65951,                0.46908,                 1.1412,                0.47029,                 1.1562,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.88878,                0.36793,                  1.009,                0.62373,                0.65674,                0.65862,                0.46935,                 1.1413,                0.47143,                 1.1557,             4.2584e-05,             4.2584e-05,             4.2584e-05
